Origin City,Destination City,Domestic/International,CarrierAA,Class Type,Ticket Count,Ticket Amount,Flight Miles
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,196.99,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,151.37,"4,824"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,324.1,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,0,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,197.23,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,494.67,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,562.49,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,211.11,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,494.22,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,210.94,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,302.76,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,302.76,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,FIRST,1,"1,101.33","2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,501.29,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,918.94,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,298.88,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,324.1,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,FIRST,1,"2,068.62","2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,562.49,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,184.4,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,495.95,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,327.51,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,263.98,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,404.41,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,360.52,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,561.68,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,209.68,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,301.58,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,FIRST,1,"1,094.66","2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,297.61,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,407.34,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,360.54,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,359.79,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,199.93,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,149.36,"4,824"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,499.91,"2,412"
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1,494.61,"2,412"
